question,option_a,option_b,option_c,option_d,answer,explanation,why_wrong_a,why_wrong_b,why_wrong_c,why_wrong_d,subject,topic,subtopic,tags
"The label of a herbarium sheet does not carry information on","Date of collection","Name of collector","Local names","Height of the plant","D","A herbarium label includes scientific name, common/vernacular name, family, locality, date of collection, collection number, name of collector, and optional plant characteristics. Height of the plant is not a standard label field.","","","","","Biology","The Living World","Herbarium","PYQ; NEET 2016; Taxonomic aids"
"Match Column I with Column II for housefly classification and select the correct option. Column I: A. Family | B. Order | C. Class | D. Phylum. Column II: (i) Diptera | (ii) Arthropoda | (iii) Muscidae | (iv) Insecta","A-(iii), B-(i), C-(iv), D-(ii)","A-(iii), B-(ii), C-(iv), D-(i)","A-(iv), B-(iii), C-(ii), D-(i)","A-(iv), B-(ii), C-(i), D-(iii)","A","For housefly: Family = Muscidae (iii), Order = Diptera (i), Class = Insecta (iv), Phylum = Arthropoda (ii).","","","","","Biology","The Living World","Taxonomic categories","PYQ; NEET 2016; Classification"
"Study the four statements (A-D) and select the two correct ones. A. Definition of biological species was given by Ernst Mayr. B. Photoperiod does not affect reproduction in plants. C. Binomial nomenclature system was given by R.H. Whittaker. D. In unicellular organisms, reproduction is synonymous with growth. The two correct statements are","B and C","C and D","A and D","A and B","C","Statements A and D are correct. Ernst Mayr gave the biological species concept. In unicellular organisms, reproduction and growth are often synonymous. Photoperiod does affect reproduction in plants, and binomial nomenclature was given by Carolus Linnaeus, not R.H. Whittaker.","","","","","Biology","The Living World","Species concept","PYQ; NEET 2016; Nomenclature"
"Nomenclature is governed by certain universal rules. Which one of the following is contrary to the rules of nomenclature?","The names are written in Latin and are italicised","When written by hand the names are to be underlined","Biological names can be written in any language","The first word in a biological name represents the genus name and the second is a specific epithet","C","Biological names are derived from Latin or are latinised; they are not written in any arbitrary language. This keeps nomenclature stable and universal.","","","","","Biology","The Living World","Binomial nomenclature","PYQ; NEET 2016; ICBN"
"Which one of the following is not a correct statement?","A museum has collection of photographs of plants and animals","Key is a taxonomic aid for identification of specimens","Herbarium houses dried, pressed and preserved plant specimens","Botanical gardens have collection of living plants for reference","A","Museums have collections of preserved plant and animal specimens for study and reference — as wet/dry specimens, insect boxes, skeletons, or stuffed specimens — not merely photographs.","","","","","Biology","The Living World","Taxonomic aids","PYQ; NEET 2013; Museum"
"The common characteristics between tomato and potato will be maximum at the level of their","Family","Order","Division","Genus","A","Potato (Solanum tuberosum) and tomato (Lycopersicum esculentum) both belong to family Solanaceae. Shared characters are maximum at the family level.","","","","","Biology","The Living World","Taxonomic hierarchy","PYQ; Karnataka NEET 2013; Solanaceae"
"Which one of the following organisms is scientifically correctly named, correctly printed according to the International Rules of Nomenclature and correctly described?","Musca domestica — the common house lizard, a reptile","Plasmodium falciparum — a protozoan pathogen causing the most serious type of malaria","Felis tigris — the Indian tiger, well protected in Gir forests","E.coli — full name Entamoeba coli, a commonly occurring bacterium in human intestine","B","Plasmodium falciparum is correctly named and described as the protozoan causing the most serious form of malaria. Musca domestica is a housefly, not a lizard; the tiger is Panthera tigris; E. coli is Escherichia coli, not Entamoeba coli.","","","","","Biology","The Living World","Scientific names","PYQ; AIPMT Mains 2012; Nomenclature"
"ICBN stands for","International Code of Botanical Nomenclature","International Congress of Biological Names","Indian Code of Botanical Nomenclature","Indian Congress of Biological Names","A","ICBN is the International Code of Botanical Nomenclature — a set of rules for formal botanical names. Its foundations are linked to Linnaeus's Philosophia Botanica.","","","","","Biology","The Living World","ICBN","PYQ; AIPMT; Nomenclature"
"Which one of the following animals is correctly matched with its particular taxonomic category?","Tiger — Tigris, species","Cuttlefish — Mollusca, class","Humans — Primata, family","Housefly — Musca, order","C","As per the given key, Humans — Primata, family is the correct option among the choices provided.","","","","","Biology","The Living World","Taxonomic categories","PYQ; AIPMT 2011; Classification"
"The living organisms can be unexceptionally distinguished from the non-living things on the basis of their ability for","Interaction with the environment and progressive evolution","Reproduction","Growth and movement","Responsiveness to touch","A","Living organisms interact with their environment and show progressive evolution — a basis for distinguishing them from non-living things.","","","","","Biology","The Living World","Characteristics of life","PYQ; AIPMT; Living vs non-living"
