id,question,option_a,option_b,option_c,option_d,answer,explanation,why_wrong_a,why_wrong_b,why_wrong_c,why_wrong_d,subject,topic,subtopic,tags,question_image_url
pearson_living_world_practice_1_268eb637,Who is known as ‘the Darwin of the 20th century’?,Lamarck,Ernst Mayr,Carolus Linneaus,Robert May,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_2_364e284e,"The number of known and described species that are in the range of, (approximately)",1.3 to 1.4 million,1.4 to 1.5 million,1.7 to 1.8 million,1.9 to 2.2 million,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_3_baa60adc,Twin characteristics of growth are,Increase in mass,Increase in number,Both a and b,Increase in length and volume,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_4_4dfead78,Growth in living organism,Is from outside,Is from inside,Both a and b,Does not take place,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_5_fb6dd3a5,Which of the following does not grow?,Amoeba,Yeast,Dead body,Planaria,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_6_2bba38c6,Growth cannot be taken as a defining property of living organisms because,All living organism do not show growth.,Non-living things also grow from inside.,Non-living things also grow.,Some living organism does not exhibit the process of reproduction.,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_7_755235a7,"Select the total number from the following organism that multiply by budding. Hydra, Sponges, yeast, earthworm, Planaria, honey bee",2,3,4,5,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_8_e5d63889,"For which organism, the growth is synonymous with reproduction?",Unicellular algae,Amoeba,Bacteria,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_9_ddfcd706,Which of the following multiply through fragmentation?,Fungi,Filamentous algae,Planaria,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_10_bffda659,Mark the correct statement.,The growth in living organisms is from inside.,Plants grow only up to a certain age.,Only living organisms grow.,All of these,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
